Id,Category
0,19
1,8
2,14
3,12
4,10
5,7
6,5
7,17
8,23
9,22
10,3
11,12
12,4
13,0
14,13
15,2
16,3
17,11
18,19
19,2
20,3
21,1
22,14
23,24
24,5
25,22
26,16
27,15
28,0
29,16
30,20
31,11
32,18
33,13
34,10
35,11
36,9
37,14
38,11
39,23
40,0
41,14
42,10
43,8
44,3
45,14
46,7
47,3
48,12
49,23
50,18
51,25
52,10
53,1
54,6
55,3
56,6
57,1
58,22
59,25
60,19
61,3
62,3
63,23
64,5
65,1
66,4
67,12
68,17
69,22
70,7
71,20
72,8
73,0
74,13
75,24
76,3
77,21
78,16
79,11
80,3
81,0
82,17
83,16
84,1
85,1
86,19
87,16
88,18
89,6
90,19
91,5
92,2
93,0
94,22
95,15
96,16
97,6
98,7
99,20
100,18
101,18
102,10
103,1
104,2
105,9
106,4
107,13
108,7
109,12
110,10
111,24
112,17
113,25
114,0
115,11
116,19
117,14
118,16
119,15
120,8
121,23
122,1
123,17
124,13
125,23
126,2
127,14
128,15
129,0
130,11
131,20
132,23
133,10
134,3
135,19
136,3
137,11
138,2
139,19
140,14
141,24
142,9
143,7
144,1
145,19
146,16
147,20
148,7
149,14
150,24
151,20
152,5
153,13
154,15
155,18
156,22
157,17
158,24
159,4
160,21
161,1
162,14
163,10
164,10
165,13
166,13
167,12
168,0
169,13
170,14
171,6
172,22
173,9
174,15
175,23
176,17
177,2
178,1
179,15
180,1
181,22
182,14
183,4
184,3
185,17
186,25
187,15
188,8
189,16
190,18
191,2
192,8
193,5
194,8
195,14
196,15
197,8
198,22
199,6
200,12
201,10
202,0
203,21
204,11
205,17
206,2
207,13
208,15
209,22
210,3
211,18
212,24
213,17
214,6
215,9
216,23
217,2
218,6
219,23
220,22
221,22
222,4
223,14
224,10
225,21
226,18
227,9
228,19
229,14
230,14
231,14
232,1
233,17
234,5
235,19
236,12
237,5
238,12
239,23
240,7
241,16
242,14
243,24
244,6
245,18
246,24
247,5
248,19
249,1
250,17
251,0
252,21
253,9
254,6
255,12
256,23
257,10
258,17
259,1
260,6
261,6
262,12
263,18
264,17
265,17
266,14
267,10
268,18
269,22
270,6
271,15
272,12
273,16
274,7
275,1
276,18
277,10
278,2
279,4
280,21
281,0
282,18
283,6
284,4
285,18
286,16
287,22
288,2
289,15
290,0
291,17
292,23
293,23
294,12
295,3
296,20
297,17
298,18
299,18
300,9
301,4
302,20
303,16
304,1
305,24
306,23
307,22
308,21
309,1
310,8
311,15
312,16
313,23
314,23
315,16
316,13
317,1
318,21
319,13
320,20
321,16
322,0
323,15
324,12
325,24
326,21
327,25
328,12
329,13
330,16
331,4
332,6
333,0
334,10
335,15
336,0
337,4
338,2
339,25
340,2
341,25
342,24
343,16
344,1
345,4
346,14
347,14
348,20
349,12
350,16
351,3
352,5
353,17
354,22
355,23
356,22
357,12
358,16
359,21
360,16
361,13
362,16
363,20
364,22
365,3
366,7
367,17
368,22
369,6
370,15
371,7
372,7
373,18
374,10
375,3
376,17
377,0
378,21
379,22
380,3
381,12
382,6
383,7
384,17
385,25
386,3
387,9
388,13
389,10
390,4
391,20
392,25
393,10
394,10
395,0
396,14
397,9
398,22
399,12
400,15
401,25
402,1
403,22
404,21
405,13
406,25
407,19
408,6
409,21
410,19
411,10
412,7
413,24
414,21
415,12
416,15
417,23
418,3
419,20
420,18
421,2
422,7
423,4
424,13
425,16
426,10
427,22
428,21
429,9
430,6
431,25
432,5
433,11
434,21
435,0
436,6
437,1
438,4
439,8
440,25
441,10
442,9
443,15
444,5
445,20
446,23
447,4
448,21
449,16
450,25
451,4
452,23
453,1
454,13
455,12
456,20
457,7
458,12
459,14
460,9
461,12
462,16
463,5
464,17
465,16
466,19
467,5
468,22
469,1
470,8
471,0
472,12
473,1
474,17
475,6
476,6
477,6
478,8
479,19
480,6
481,6
482,7
483,18
484,11
485,9
486,20
487,17
488,12
489,13
490,21
491,6
492,4
493,1
494,16
495,5
496,16
497,1
498,9
499,11
500,12
501,5
502,19
503,22
504,4
505,4
506,17
507,18
508,18
509,4
510,6
511,20
512,25
513,22
514,4
515,18
516,10
517,6
518,19
519,16
520,12
521,0
522,22
523,0
524,10
525,7
526,11
527,18
528,1
529,1
530,1
531,6
532,2
533,2
534,10
535,5
536,0
537,7
538,13
539,10
540,12
541,9
542,10
543,1
544,25
545,25
546,14
547,13
548,22
549,5
550,3
551,16
552,23
553,17
554,17
555,0
556,17
557,25
558,11
559,7
560,6
561,24
562,23
563,14
564,6
565,22
566,11
567,16
568,5
569,3
570,16
571,20
572,9
573,9
574,23
575,1
576,19
577,18
578,20
579,23
580,4
581,1
582,5
583,1
584,20
585,10
586,18
587,22
588,16
589,11
590,14
591,8
592,13
593,1
594,3
595,20
596,1
597,5
598,10
599,22
600,18
601,9
602,13
603,10
604,0
605,18
606,14
607,1
608,1
609,12
610,20
611,17
612,17
613,15
614,13
615,23
616,14
617,23
618,5
619,24
620,15
621,15
622,16
623,23
624,3
625,5
626,25
627,4
628,12
629,13
630,10
631,2
632,3
633,24
634,2
635,3
636,22
637,12
638,3
639,17
640,18
641,1
642,17
643,13
644,25
645,21
646,20
647,7
648,20
649,15
650,0
651,14
652,5
653,0
654,12
655,7
656,17
657,0
658,21
659,13
660,15
661,8
662,7
663,3
664,12
665,14
666,18
667,21
668,3
669,18
670,11
671,7
672,11
673,17
674,18
675,18
676,18
677,14
678,17
679,15
680,1
681,16
682,23
683,0
684,21
685,13
686,3
687,18
688,4
689,4
690,3
691,6
692,6
693,17
694,3
