transaction_id;product_id;customer_id;transaction_date;online_order;order_status;brand;product_line;product_class;product_size;list_price;standard_cost
1;2;2950;25.02.2017;False;Approved;Solex;Standard;medium;medium;71,49;53,62
2;3;3120;21.05.2017;True;Approved;Trek Bicycles;Standard;medium;large;2091,47;388,92
3;37;402;16.10.2017;False;Approved;OHM Cycles;Standard;low;medium;1793,43;248,82
4;88;3135;31.08.2017;False;Approved;Norco Bicycles;Standard;medium;medium;1198,46;381,10
5;78;787;01.10.2017;True;Approved;Giant Bicycles;Standard;medium;large;1765,3;709,48
6;25;2339;08.03.2017;True;Approved;Giant Bicycles;Road;medium;medium;1538,99;829,65
7;22;1542;21.04.2017;True;Approved;WeareA2B;Standard;medium;medium;60,34;45,26
8;15;2459;15.07.2017;False;Approved;WeareA2B;Standard;medium;medium;1292,84;13,44
9;67;1305;10.08.2017;False;Approved;Solex;Standard;medium;large;1071,23;380,74
10;12;3262;30.08.2017;True;Approved;WeareA2B;Standard;medium;medium;1231,15;161,60
11;5;1986;17.01.2017;False;Approved;Trek Bicycles;Mountain;low;medium;574,64;459,71
12;61;2783;05.01.2017;True;Approved;OHM Cycles;Standard;low;medium;71,16;56,93
13;35;1243;26.02.2017;True;Approved;Trek Bicycles;Standard;low;medium;1057,51;154,40
14;16;2717;10.09.2017;False;Approved;Norco Bicycles;Standard;high;small;1661,92;1479,11
15;12;247;11.06.2017;False;Approved;Giant Bicycles;Standard;medium;large;1765,3;709,48
16;3;2961;10.10.2017;False;Approved;Trek Bicycles;Standard;medium;large;2091,47;388,92
17;79;2426;03.04.2017;False;Approved;Norco Bicycles;Standard;medium;medium;1555,58;818,01
18;33;1842;02.06.2017;False;Approved;Giant Bicycles;Standard;medium;small;1311,44;1167,18
19;54;2268;06.04.2017;True;Approved;WeareA2B;Standard;medium;medium;1292,84;13,44
20;25;3002;28.01.2017;True;Approved;Giant Bicycles;Road;medium;medium;1538,99;829,65
21;27;1582;09.10.2017;False;Approved;Trek Bicycles;Standard;medium;medium;499,53;388,72
22;37;595;29.06.2017;True;Approved;OHM Cycles;Standard;low;medium;1793,43;248,82
23;37;2001;08.04.2017;True;Approved;OHM Cycles;Standard;low;medium;1793,43;248,82
24;82;515;18.10.2017;False;Approved;Giant Bicycles;Road;medium;medium;1538,99;829,65
25;89;2822;11.06.2017;False;Approved;WeareA2B;Touring;medium;large;1362,99;57,74
26;64;2596;10.01.2017;False;Approved;Trek Bicycles;Standard;medium;large;1469,44;596,55
27;64;2666;11.04.2017;True;Approved;Trek Bicycles;Standard;medium;large;1469,44;596,55
28;19;76;23.12.2017;False;Approved;Trek Bicycles;Mountain;low;medium;574,64;459,71
29;72;3368;13.10.2017;True;Approved;Norco Bicycles;Standard;medium;medium;360,4;270,30
30;91;1173;15.03.2017;False;Approved;WeareA2B;Standard;low;medium;642,31;513,85
31;88;2810;05.09.2017;True;Approved;Norco Bicycles;Standard;medium;medium;1198,46;381,10
32;1;3214;18.02.2017;False;Approved;Giant Bicycles;Standard;medium;medium;1403,5;954,82
33;25;1272;20.03.2017;False;Approved;Giant Bicycles;Road;medium;medium;1538,99;829,65
