id,flag_a
C00144K,1
C00194K,1
C00277K,1
C00290K,1
C00718K,1
C01034K,1
C01401K,1
C01429K,1
C01535K,1
C02138K,1
C02221K,1
C02263K,1
C02361K,1
C02399K,1
C02692K,1
C03027K,1
C03319K,1
C03431K,1
C03632K,1
C03786K,1
C03815K,1
C03907K,0
C03969K,1
C04000K,1
C04033K,1
C04124K,1
C04252K,1
C04516K,1
C04706K,1
C04967K,1
C05149K,1
C05361K,1
C05786K,1
C06399K,1
C06446K,1
C07291K,1
C07635K,0
C07805K,0
C08368K,1
C08681K,1
C09456K,1
C09528K,1
C09939K,1
C10024K,1
C10061K,1
C10406K,1
C11256K,1
C11398K,1
C11680K,1
C12699K,1
C12783K,1
C12925K,1
C12983K,1
C13162K,1
C13176K,1
C13228K,1
C13374K,1
C13725K,1
C13854K,1
C14113K,1
C14118K,1
C14208K,1
C14257K,1
C14404K,1
C14502K,1
C15036K,1
C15041K,1
C15043K,1
C15499K,1
C16048K,0
C16089K,1
C16193K,1
C16703K,1
C17646K,1
C17877K,1
C18126K,1
C18576K,1
C19222K,1
C19355K,1
C19570K,1
C19665K,1
C19677K,1
C19731K,1
C19734K,1
C20023K,1
C20285K,1
C20606K,1
C21179K,1
C21430K,1
C21444K,1
C21946K,1
C22206K,1
C22352K,1
C22707K,1
C23128K,1
C23191K,1
C23396K,1
C23483K,0
C23637K,1
C23986K,1
C24076K,1
C24113K,1
C24124K,1
C24166K,1
C24238K,1
C24364K,1
C24369K,1
C24528K,1
C24602K,1
C24815K,1
C25014K,1
C25309K,1
C26292K,1
C26860K,0
C26932K,1
C27185K,1
C27328K,1
C27408K,1
C27840K,1
C28323K,1
C28429K,0
C30183K,1
C30514K,0
C30657K,1
C30926K,1
C31368K,1
C31477K,1
C31899K,1
C32041K,1
C32065K,1
C32502K,1
C35390K,1
C35606K,1
C35898K,1
C36020K,1
C36101K,1
C36140K,1
C36277K,1
C36407K,1
C36496K,1
C36678K,1
C37038K,1
C37040K,1
C37121K,1
C37187K,1
C37230K,1
C37428K,1
C37442K,1
C37730K,1
C37914K,1
C38047K,1
C38100K,0
C38256K,0
C38327K,0
C38365K,1
C38469K,1
C38635K,1
C38655K,1
C38856K,1
C39028K,1
C39238K,1
C39468K,1
C39743K,1
C39834K,1
C39909K,1
C39912K,1
C39943K,0
C40203K,1
C40277K,1
C40357K,1
C40360K,1
C40544K,1
C40545K,1
C40577K,1
C40592K,0
C40744K,1
C41246K,1
C41337K,1
C41503K,1
C41637K,1
C41656K,1
C42502K,1
C42595K,1
C42710K,1
C42780K,1
C43018K,1
C43021K,1
C43178K,1
C43293K,1
C43395K,1
C43499K,1
C43546K,1
C43746K,1
C43796K,1
C43953K,1
C44167K,1
C44345K,1
C44763K,1
C44829K,1
C45219K,1
C45319K,1
C45444K,1
C45502K,1
C45515K,1
C45554K,1
C45640K,1
C45731K,1
C45844K,1
C45965K,1
C46211K,1
C46259K,1
C46269K,1
C46329K,1
C46433K,1
C46503K,1
C46537K,1
C46708K,1
C46724K,1
C46913K,1
C47006K,1
C47206K,1
C47238K,1
C47258K,0
C47439K,1
C47563K,1
C47688K,1
C47746K,1
C47837K,1
C47876K,1
C47885K,1
C47918K,1
C48008K,1
C48036K,1
C48188K,1
C48204K,1
C48217K,1
C48535K,0
C48568K,1
C48619K,1
C48708K,1
C48805K,1
C48835K,1
C48952K,1
C49091K,1
C49133K,1
C49190K,1
C49273K,1
C49350K,1
C49537K,1
C49582K,1
C49762K,1
C50030K,1
C50035K,1
C50381K,1
C50447K,1
C50519K,1
C50549K,1
C50675K,1
C50840K,1
C50995K,1
C51066K,1
C51098K,1
C51131K,1
C51167K,1
C51169K,1
C51223K,1
C51234K,1
C51250K,1
C51257K,1
C51565K,1
C51573K,1
C51652K,1
C51667K,1
C51913K,0
C52260K,1
C52309K,1
C52312K,1
C52462K,0
C52645K,0
C52723K,1
C52731K,0
C52860K,1
C52864K,1
C53022K,1
C53122K,1
C53129K,1
C53272K,1
C53283K,1
C53300K,1
C53469K,1
C53736K,1
C53740K,1
