id,flag_b
C00144K,0
C00194K,0
C00277K,0
C00290K,0
C00718K,0
C01034K,0
C01401K,0
C01429K,0
C01535K,0
C02138K,0
C02221K,0
C02263K,0
C02361K,0
C02399K,0
C02692K,0
C03027K,0
C03319K,0
C03431K,0
C03632K,0
C03786K,0
C03815K,0
C03907K,0
C03969K,0
C04000K,0
C04033K,0
C04124K,0
C04252K,0
C04516K,0
C04706K,0
C04967K,0
C05149K,0
C05361K,0
C05786K,0
C06399K,0
C06446K,0
C07291K,0
C07635K,0
C07805K,0
C08368K,0
C08681K,0
C09456K,0
C09528K,0
C09939K,0
C10024K,0
C10061K,0
C10406K,0
C11256K,0
C11398K,0
C11680K,0
C12699K,0
C12783K,0
C12925K,0
C12983K,0
C13162K,0
C13176K,0
C13228K,0
C13374K,0
C13725K,0
C13854K,0
C14113K,0
C14118K,0
C14208K,0
C14257K,0
C14404K,0
C14502K,0
C15036K,0
C15041K,0
C15043K,0
C15499K,0
C16048K,1
C16089K,0
C16193K,0
C16703K,0
C17646K,0
C17877K,0
C18126K,0
C18576K,0
C19222K,0
C19355K,0
C19570K,0
C19665K,0
C19677K,0
C19731K,0
C19734K,0
C20023K,0
C20285K,0
C20606K,0
C21179K,0
C21430K,0
C21444K,0
C21946K,0
C22206K,0
C22352K,0
C22707K,0
C23128K,0
C23191K,0
C23396K,0
C23483K,0
C23637K,0
C23986K,0
C24076K,0
C24113K,0
C24124K,0
C24166K,0
C24238K,0
C24364K,0
C24369K,0
C24528K,0
C24602K,0
C24815K,0
C25014K,0
C25309K,0
C26292K,0
C26860K,0
C26932K,0
C27185K,0
C27328K,0
C27408K,0
C27840K,0
C28323K,0
C28429K,0
C30183K,0
C30514K,0
C30657K,0
C30926K,0
C31368K,0
C31477K,0
C31899K,0
C32041K,0
C32065K,0
C32502K,0
C35390K,0
C35606K,0
C35898K,0
C36020K,0
C36101K,0
C36140K,0
C36277K,0
C36407K,0
C36496K,0
C36678K,0
C37038K,0
C37040K,0
C37121K,0
C37187K,0
C37230K,0
C37428K,0
C37442K,0
C37730K,0
C37914K,0
C38047K,0
C38100K,1
C38256K,0
C38327K,0
C38365K,0
C38469K,0
C38635K,0
C38655K,0
C38856K,0
C39028K,0
C39238K,0
C39468K,0
C39743K,0
C39834K,0
C39909K,0
C39912K,0
C39943K,0
C40203K,1
C40277K,0
C40357K,0
C40360K,0
C40544K,0
C40545K,0
C40577K,1
C40592K,0
C40744K,0
C41246K,0
C41337K,0
C41503K,0
C41637K,0
C41656K,0
C42502K,0
C42595K,0
C42710K,0
C42780K,0
C43018K,0
C43021K,0
C43178K,0
C43293K,0
C43395K,0
C43499K,0
C43546K,0
C43746K,0
C43796K,0
C43953K,0
C44167K,0
C44345K,0
C44763K,0
C44829K,0
C45219K,0
C45319K,0
C45444K,0
C45502K,0
C45515K,0
C45554K,0
C45640K,0
C45731K,0
C45844K,0
C45965K,0
C46211K,0
C46259K,0
C46269K,0
C46329K,0
C46433K,0
C46503K,0
C46537K,0
C46708K,0
C46724K,0
C46913K,0
C47006K,0
C47206K,0
C47238K,0
C47258K,0
C47439K,0
C47563K,0
C47688K,0
C47746K,0
C47837K,0
C47876K,0
C47885K,0
C47918K,0
C48008K,0
C48036K,0
C48188K,0
C48204K,0
C48217K,0
C48535K,0
C48568K,0
C48619K,0
C48708K,0
C48805K,0
C48835K,0
C48952K,0
C49091K,0
C49133K,0
C49190K,0
C49273K,0
C49350K,0
C49537K,0
C49582K,0
C49762K,0
C50030K,0
C50035K,0
C50381K,0
C50447K,0
C50519K,0
C50549K,0
C50675K,1
C50840K,0
C50995K,0
C51066K,1
C51098K,0
C51131K,1
C51167K,0
C51169K,0
C51223K,0
C51234K,0
C51250K,1
C51257K,0
C51565K,0
C51573K,1
C51652K,0
C51667K,0
C51913K,0
C52260K,0
C52309K,0
C52312K,0
C52462K,0
C52645K,0
C52723K,0
C52731K,1
C52860K,0
C52864K,0
C53022K,0
C53122K,0
C53129K,0
C53272K,0
C53283K,0
C53300K,0
C53469K,0
C53736K,0
C53740K,0
C53803K,0
C54074K,0
C54162K,0
C54206K,0
C54209K,0
C54256K,0
C54311K,0
C54412K,0
C54688K,1
C54781K,1
C54823K,1
C54855K,0
C54908K,0
C54935K,0
C55054K,0
C55171K,0
C55217K,0
C55312K,0
C55534K,0
C55566K,0
C55585K,0
C55617K,0
C55659K,0
C55660K,0
C55708K,0
C55714K,0
C55788K,0
C55789K,0
C55800K,0
C55809K,0
C55874K,0
C55900K,0
C55951K,0
C56172K,1
C56255K,0
C56263K,0
C56288K,0
C56353K,0
C56392K,0
C56396K,0
C56505K,0
C56595K,1
C56628K,0
C57082K,0
C57151K,0
C57184K,1
C57465K,0
C57490K,0
C57623K,0
C57624K,0
C57643K,0
C57682K,0
C57718K,0
C57792K,0
C57897K,0
C58119K,0
C58128K,0
C58173K,0
C58241K,0
C58268K,0
C58349K,0
C58382K,0
C58454K,0
C58598K,0
C58660K,0
C58682K,0
C58790K,0
C58795K,1
C58859K,0
C58917K,0
C59147K,0
C59247K,0
C59265K,0
C59280K,0
C59334K,0
C59420K,0
C59927K,0
C60056K,0
C60347K,0
C60365K,0
C60371K,0
C60399K,0
C60588K,0
C60612K,0
C60769K,0
C60821K,0
C60832K,0
C60874K,0
C60947K,0
C61115K,0
C61124K,1
C61147K,1
C61208K,0
C61277K,0
C61298K,0
C61414K,0
C61732K,0
C61737K,0
C61741K,0
C61771K,0
C61952K,0
C61964K,0
C61997K,0
C62016K,0
C62038K,0
C62150K,0
C62205K,1
C62233K,0
C62246K,0
C62247K,0
C62252K,0
C62253K,0
C62463K,0
C62599K,0
C62619K,0
C62640K,0
C62709K,0
C62715K,0
C62748K,0
C62880K,0
C62920K,0
C62970K,1
C63031K,0
C63124K,0
C63272K,0
C63378K,0
C63395K,0
C63588K,0
C63662K,0
C63669K,0
C63773K,0
C63799K,0
C63883K,0
C63896K,0
C63917K,0
C64102K,0
C64103K,0
C64309K,0
C64334K,0
C64336K,0
C64420K,0
C64454K,0
C64475K,0
C64481K,0
C64509K,0
C64613K,0
C64674K,0
C64732K,0
C64735K,0
C64770K,0
C64839K,0
C64950K,0
C65064K,0
C65155K,0
C65192K,0
C65223K,0
C65229K,0
C65281K,0
C65314K,1
C65341K,0
C65348K,0
C65370K,0
C65563K,0
C65603K,0
C65670K,0
C65672K,0
C65711K,0
C65756K,0
C65762K,0
C65795K,0
C65894K,0
C65897K,0
C65914K,0
C66002K,0
C66003K,1
C66122K,0
C66138K,1
C66281K,0
C66592K,1
C66673K,0
C66798K,0
C66855K,0
C67013K,0
C67092K,0
C67109K,0
C67147K,0
C67235K,1
C67271K,0
C67424K,0
C67507K,0
C67624K,0
C67641K,0
C67642K,0
C67655K,0
C67671K,0
C67676K,0
C67687K,0
C67750K,0
C67779K,0
C67810K,0
C67836K,0
C67837K,0
C67845K,0
C67854K,0
C68025K,0
C68146K,0
C68192K,0
C68226K,0
C68339K,0
C68347K,0
C68363K,0
C68365K,1
C68402K,0
C68564K,0
C68624K,1
C68692K,0
C69028K,0
C69070K,0
C69085K,0
C69139K,0
C69182K,0
C69342K,0
C69360K,0
C69521K,0
C69530K,0
C69609K,0
C69610K,0
C69692K,0
C69777K,0
C69809K,0
C69985K,0
C69998K,0
C70103K,0
CA000FK,0
CA000HK,0
CA000JK,0
CA0012K,0
CA001WK,0
CA0020K,0
CA0036K,0
CA003AK,0
CA003VK,0
CA004BK,0
CA004CK,0
CA004MK,0
CA0051K,0
CA0055K,0
CA005PK,0
CA005YK,0
CA006BK,0
CA006CK,0
CA006OK,1
CA006XK,1
CA007SK,0
CA008KK,0
CA0090K,0
CA00AFK,0
CA00B1K,0
CA00BYK,0
CA00CVK,1
CA00DCK,0
CA00DKK,0
CA00DZK,0
CA00EAK,0
CA00ESK,0
CA00F8K,1
CA00FAK,0
CA00G6K,0
CA00G9K,0
CA00HKK,0
CA00I2K,1
CA00ITK,0
CA00IYK,0
CA00J3K,0
CA00J9K,0
CA00KFK,0
CA00LBK,0
CA00LEK,0
CA00LLK,0
CA00MFK,0
CA00MNK,0
CA00N4K,0
CA00NGK,0
CA00O0K,0
CA00OKK,0
CA00PNK,0
CA00RPK,1
CA00RRK,0
CA00SEK,0
CA00SKK,0
CA00TEK,0
CA00TNK,0
CA00TOK,0
CA00UGK,0
CA00VFK,0
CA00W4K,0
CA00WYK,1
CA00XIK,0
CA00XNK,0
CA00YTK,0
CA00Z0K,0
CA010PK,0
CA010XK,1
CA011DK,0
CA011YK,0
CA0122K,0
CA012VK,1
CA0138K,0
CA013LK,0
CA0141K,0
CA014WK,0
CA0159K,0
CA015NK,0
CA015VK,0
CA017MK,0
CA017ZK,0
CA018DK,0
CA018KK,0
CA018NK,0
CA018RK,1
CA0194K,0
CA0199K,0
CA019GK,0
CA019HK,0
CA01A7K,0
CA01BDK,0
CA01CLK,0
CA01DAK,0
CA01DHK,0
CA01DNK,0
CA01DUK,0
CA01ELK,0
CA01EUK,1
CA01F9K,0
CA01FFK,0
CA01G6K,0
CA01GMK,0
CA01H2K,0
CA01H9K,0
CA01HBK,0
CA01HSK,0
CA01I7K,0
CA01ILK,0
CA01J7K,0
CA01JMK,0
CA01K4K,0
CA01L5K,0
CA01LJK,0
CA01LRK,0
CA01M0K,0
CA01M4K,0
CA01M8K,0
CA01MDK,0
CA01MLK,0
CA01MNK,0
CA01MQK,0
CA01MUK,0
CA01NCK,0
CA01O5K,0
CA01P1K,0
CA01P3K,0
CA01PFK,0
CA01PPK,0
CA01PQK,0
CA01PVK,0
CA01Q4K,0
CA01Q7K,0
CA01QDK,0
CA01S1K,0
CA01T1K,0
CA01TAK,0
CA01TWK,0
CA01TZK,0
CA01UNK,1
CA01UVK,0
CA01V9K,0
CA01VEK,0
CA01VKK,0
CA01VMK,0
CA01VTK,0
CA01VYK,0
CA01WJK,0
CA01WUK,0
CA01Y1K,0
CA01ZVK,0
CA020FK,0
CA020KK,0
CA020WK,0
CA021LK,0
CA021PK,0
CA0221K,0
CA0233K,0
CA024AK,0
CA024HK,1
CA024YK,0
CA025GK,0
CA025XK,0
CA0269K,0
CA026VK,0
CA0275K,0
CA027RK,0
CA027XK,0
CA0289K,0
CA028QK,0
CA028SK,0
CA029CK,0
CA029MK,0
CA029QK,0
CA029UK,0
CA02A1K,0
CA02ACK,0
CA02ANK,0
CA02BPK,0
CA02C1K,0
CA02DSK,0
CA02EFK,0
CA02EQK,0
CA02ERK,0
CA02EXK,0
CA02FBK,0
CA02FFK,0
CA02FQK,0
CA02GCK,0
CA02GDK,0
CA02GNK,0
CA02GWK,0
CA02HIK,0
CA02HKK,0
CA02I9K,0
CA02IAK,0
CA02JBK,1
CA02JDK,0
CA02JFK,0
CA02JHK,0
CA02JKK,0
CA02KAK,0
CA02KHK,0
CA02L3K,0
CA02L4K,0
CA02L9K,0
CA02LQK,0
CA02MFK,0
CA02MQK,0
CA02MWK,0
CA02O0K,0
CA02OCK,0
CA02OWK,0
CA02PJK,0
CA02PRK,0
CA02QYK,0
CA02RLK,0
CA02RPK,0
CA02RZK,0
CA02S3K,0
CA02S6K,1
CA02SBK,0
CA02T3K,0
CA02TAK,0
CA02TCK,0
CA02TNK,0
CA02TZK,0
CA02UHK,0
CA02V8K,0
CA02VGK,0
CA02VIK,0
CA02WIK,0
CA02WQK,0
CA02WXK,0
CA02X7K,0
CA02ZCK,0
CA02ZDK,0
CA02ZRK,0
CA0313K,1
CA0325K,0
CA033EK,0
CA034FK,0
CA034LK,0
CA034RK,0
CA0352K,0
