Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,MeanRoomsSquare,AreaRatio,MonthSale,AgeBuilding,WeekdaySale,StreetType,Weekend
Abbotsford,2,house,1480000.0,S,Biggin,2016-03-12,2.5,3067,2,1,1,202.0,126.0,Yarra,-37.7996,144.9984,Northern Metropolitan,4019,25.2,-0.23170731707317074,3,46,5,St,1
Abbotsford,2,house,1035000.0,S,Biggin,2016-04-02,2.5,3067,2,1,0,156.0,79.0,Yarra,-37.8079,144.9934,Northern Metropolitan,4019,15.8,-0.3276595744680851,4,116,5,St,1
Abbotsford,3,house,1465000.0,SP,Biggin,2017-04-03,2.5,3067,3,2,0,134.0,150.0,Yarra,-37.8093,144.9944,Northern Metropolitan,4019,18.75,0.056338028169014086,4,117,0,St,0
Abbotsford,3,house,850000.0,PI,Biggin,2017-04-03,2.5,3067,3,2,1,94.0,126.0,Yarra,-37.7969,144.9969,Northern Metropolitan,4019,15.75,0.14545454545454545,4,47,0,other,0
Abbotsford,4,house,1600000.0,VB,Nelson,2016-04-06,2.5,3067,3,1,2,120.0,142.0,Yarra,-37.8072,144.9941,Northern Metropolitan,4019,17.75,0.08396946564885496,4,2,2,St,0
Abbotsford,2,house,941000.0,S,Jellis,2016-07-05,2.5,3067,2,1,0,181.0,126.0,Yarra,-37.8041,144.9953,Northern Metropolitan,4019,25.2,-0.1791530944625407,7,46,1,St,0
Abbotsford,3,house,1876000.0,S,Nelson,2016-07-05,2.5,3067,4,2,0,245.0,210.0,Yarra,-37.8024,144.9993,Northern Metropolitan,4019,23.333333333333332,-0.07692307692307693,7,106,1,St,0
Abbotsford,2,house,1636000.0,S,Nelson,2016-08-10,2.5,3067,2,1,2,256.0,107.0,Yarra,-37.806,144.9954,Northern Metropolitan,4019,21.4,-0.41046831955922863,8,126,2,St,0
Abbotsford,1,unit,300000.0,S,Biggin,2016-08-10,2.5,3067,1,1,1,0.0,126.0,Yarra,-37.8008,144.9973,Northern Metropolitan,4019,42.0,1.0,8,46,2,St,0
Abbotsford,2,house,1097000.0,S,Biggin,2016-08-10,2.5,3067,3,1,2,220.0,75.0,Yarra,-37.801,144.9989,Northern Metropolitan,4019,12.5,-0.4915254237288136,8,116,2,St,0
